2018-10-20 00:19:55 status installed libidn11:amd64 1.33-1
2018-10-20 00:19:55 configure libsctp-dev:amd64 1.0.17+dfsg-1+b1 <none>
2018-10-20 00:19:55 status unpacked libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:55 status half-configured libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:55 status installed libsctp-dev:amd64 1.0.17+dfsg-1+b1
2018-10-20 00:19:55 configure uuid-dev:amd64 2.29.2-1+deb9u1 <none>
2018-10-20 00:19:55 status unpacked uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:55 status half-configured uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:55 status installed uuid-dev:amd64 2.29.2-1+deb9u1
2018-10-20 00:19:55 configure libhogweed4:amd64 3.3-1+b2 <none>
2018-10-20 00:19:55 status unpacked libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:55 status half-configured libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:55 status installed libhogweed4:amd64 3.3-1+b2
2018-10-20 00:19:55 configure libp11-kit0:amd64 0.23.3-2 <none>
2018-10-20 00:19:55 status unpacked libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:55 status half-configured libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:55 status installed libp11-kit0:amd64 0.23.3-2
2018-10-20 00:19:55 configure libexpat1-dev:amd64 2.2.0-2+deb9u1 <none>
2018-10-20 00:19:55 status unpacked libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:55 status half-configured libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:55 status installed libexpat1-dev:amd64 2.2.0-2+deb9u1
2018-10-20 00:19:55 configure libapr1-dev:amd64 1.5.2-5 <none>
2018-10-20 00:19:55 status unpacked libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:55 status half-configured libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:55 status installed libapr1-dev:amd64 1.5.2-5
2018-10-20 00:19:55 configure libgnutls30:amd64 3.5.8-5+deb9u3 <none>
2018-10-20 00:19:55 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:55 status half-configured libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:55 status installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-10-20 00:19:55 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2 <none>
2018-10-20 00:19:55 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 status installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u2
2018-10-20 00:19:55 configure libaprutil1-ldap:amd64 1.5.4-3 <none>
2018-10-20 00:19:55 status unpacked libaprutil1-ldap:amd64 1.5.4-3
2018-10-20 00:19:55 status half-configured libaprutil1-ldap:amd64 1.5.4-3
2018-10-20 00:19:55 status installed libaprutil1-ldap:amd64 1.5.4-3
